Key Id,Tournament Id,tournament Name,Match Id,Match Name,Stage Name,Group Name,Group Stage,Knockout Stage,Replayed,Replay,Match Date,Match Time,Stadium Id,Stadium Name,City Name,Country Name,Home Team Id,Home Team Name,Home Team Code,Away Team Id,Away Team Name,Away Team Code,Score,Home Team Score,Away Team Score,Home Team Score Margin,Away Team Score Margin,Extra Time,Penalty Shootout,Score Penalties,Home Team Score Penalties,Away Team Score Penalties,Result,Home Team Win,Away Team Win,Draw,Year,Winner
909,WC-2022,2022 FIFA World Cup,M-2022-09,Morocco v Croatia,group stage,Group F,1,0,0,0,11/23/2022,13:00,S-107,Al Bayt Stadium,Al Khor,Qatar,T-45,Morocco,MAR,T-17,Croatia,HRV,00,0,0,0,0,0,0,0-0,0,0,draw,0,0,1,2022,Draw
926,WC-2022,2022 FIFA World Cup,M-2022-26,Belgium v Morocco,group stage,Group F,1,0,0,0,11/27/2022,16:00,S-112,Al Thumama Stadium,Doha,Qatar,T-06,Belgium,BEL,T-45,Morocco,MAR,02,0,2,-2,2,0,0,0-0,0,0,away team win,0,1,0,2022,Morocco
941,WC-2022,2022 FIFA World Cup,M-2022-41,Canada v Morocco,group stage,Group F,1,0,0,0,12/1/2022,18:00,S-112,Al Thumama Stadium,Doha,Qatar,T-12,Canada,CAN,T-45,Morocco,MAR,12,1,2,-1,1,0,0,0-0,0,0,away team win,0,1,0,2022,Morocco
955,WC-2022,2022 FIFA World Cup,M-2022-55,Morocco v Spain,round of 16,not applicable,0,1,0,0,12/6/2022,18:00,S-109,Education City Stadium,Al Rayyan,Qatar,T-45,Morocco,MAR,T-71,Spain,ESP,00,0,0,0,0,1,1,30,3,0,home team win,1,0,0,2022,Morocco
959,WC-2022,2022 FIFA World Cup,M-2022-59,Morocco v Portugal,quarter-finals,not applicable,0,1,0,0,12/10/2022,18:00,S-112,Al Thumama Stadium,Doha,Qatar,T-45,Morocco,MAR,T-56,Portugal,PRT,10,1,0,1,-1,0,0,0-0,0,0,home team win,1,0,0,2022,Morocco
962,WC-2022,2022 FIFA World Cup,M-2022-62,France v Morocco,semi-finals,not applicable,0,1,0,0,12/14/2022,22:00,S-107,Al Bayt Stadium,Al Khor,Qatar,T-28,France,FRA,T-45,Morocco,MAR,20,2,0,2,-2,0,0,0-0,0,0,home team win,1,0,0,2022,France
963,WC-2022,2022 FIFA World Cup,M-2022-63,Croatia v Morocco,third-place match,not applicable,0,1,0,0,12/17/2022,18:00,S-110,Khalifa International Stadium,Al Rayyan,Qatar,T-17,Croatia,HRV,T-45,Morocco,MAR,21,2,1,1,-1,0,0,0-0,0,0,home team win,1,0,0,2022,Croatia
