Key Id,Tournament Id,tournament Name,Match Id,Match Name,Stage Name,Group Name,Group Stage,Knockout Stage,Replayed,Replay,Match Date,Match Time,Stadium Id,Stadium Name,City Name,Country Name,Home Team Id,Home Team Name,Home Team Code,Away Team Id,Away Team Name,Away Team Code,Score,Home Team Score,Away Team Score,Home Team Score Margin,Away Team Score Margin,Extra Time,Penalty Shootout,Score Penalties,Home Team Score Penalties,Away Team Score Penalties,Result,Home Team Win,Away Team Win,Draw,Year,Winner
905,WC-2022,2022 FIFA World Cup,M-2022-05,Argentina v Saudi Arabia,group stage,Group C,1,0,0,0,11/22/2022,13:00,S-114,Lusail Stadium,Lusail,Qatar,T-03,Argentina,ARG,T-61,Saudi Arabia,SAU,12,1,2,-1,1,0,0,0-0,0,0,away team win,0,1,0,2022,Saudi Arabia
924,WC-2022,2022 FIFA World Cup,M-2022-24,Argentina v Mexico,group stage,Group C,1,0,0,0,11/26/2022,22:00,S-114,Lusail Stadium,Lusail,Qatar,T-03,Argentina,ARG,T-44,Mexico,MEX,20,2,0,2,-2,0,0,0-0,0,0,home team win,1,0,0,2022,Argentina
939,WC-2022,2022 FIFA World Cup,M-2022-39,Poland v Argentina,group stage,Group C,1,0,0,0,11/30/2022,22:00,S-113,Stadium 974,Doha,Qatar,T-55,Poland,POL,T-03,Argentina,ARG,02,0,2,-2,2,0,0,0-0,0,0,away team win,0,1,0,2022,Argentina
950,WC-2022,2022 FIFA World Cup,M-2022-50,Argentina v Australia,round of 16,not applicable,0,1,0,0,12/3/2022,22:00,S-108,Ahmad bin Ali Stadium,Al Rayyan,Qatar,T-03,Argentina,ARG,T-04,Australia,AUS,21,2,1,1,-1,0,0,0-0,0,0,home team win,1,0,0,2022,Argentina
958,WC-2022,2022 FIFA World Cup,M-2022-58,Netherlands v Argentina,quarter-finals,not applicable,0,1,0,0,12/9/2022,22:00,S-114,Lusail Stadium,Lusail,Qatar,T-46,Netherlands,NLD,T-03,Argentina,ARG,22,2,2,0,0,1,1,34,3,4,away team win,0,1,0,2022,Argentina
961,WC-2022,2022 FIFA World Cup,M-2022-61,Argentina v Croatia,semi-finals,not applicable,0,1,0,0,12/13/2022,22:00,S-114,Lusail Stadium,Lusail,Qatar,T-03,Argentina,ARG,T-17,Croatia,HRV,30,3,0,3,-3,0,0,0-0,0,0,home team win,1,0,0,2022,Argentina
964,WC-2022,2022 FIFA World Cup,M-2022-64,Argentina v France,final,not applicable,0,1,0,0,12/18/2022,18:00,S-114,Lusail Stadium,Lusail,Qatar,T-03,Argentina,ARG,T-28,France,FRA,33,3,3,0,0,1,1,42,4,2,home team win,1,0,0,2022,Argentina
